TIMESTAMP,DATE,ORDER NO.,SALES PERSON,PARTY NAME,AGENT,HASTE,TRANSPORT,FABRIC,DEPT.,DSGN-MATCHING,MTR-YARD,RATE
28/05/0204 17:08:27,22-05-2024,478,-,MESSI ENTERPRISE,Royal Fabrics,,TRANSPORT,LORDS-1,LD,1,60,150
28-05-2024 17:08:27,22-05-2024,478,-,MESSI ENTERPRISE,Royal Fabrics,,TRANSPORT,LORDS-1,LD,2,60,150
28-05-2024 17:08:27,22-05-2024,478,-,MESSI ENTERPRISE,Royal Fabrics,,TRANSPORT,LORDS-1,LD,3,60,150
28-05-2024 17:08:27,22-05-2024,478,-,MESSI ENTERPRISE,Royal Fabrics,,TRANSPORT,LORDS-2,LD,1,60,150
28-05-2024 17:08:27,22-05-2024,478,-,MESSI ENTERPRISE,Royal Fabrics,,TRANSPORT,LORDS-2,LD,2,60,150
28-05-2024 17:08:27,22-05-2024,478,-,MESSI ENTERPRISE,Royal Fabrics,,TRANSPORT,LORDS-2,LD,3,60,150
28-05-2024 17:08:27,23-05-2024,477,-,PARASRAM PRADIPKUMAR,Royal Fabrics,,TRANSPORT,MILTON-1,LD,A,70,145
28-05-2024 17:08:27,23-05-2024,477,-,PARASRAM PRADIPKUMAR,Royal Fabrics,,TRANSPORT,MILTON-1,LD,B,70,145
28-05-2024 17:08:27,23-05-2024,477,-,PARASRAM PRADIPKUMAR,Royal Fabrics,,TRANSPORT,MILTON-1,LD,C,70,145
28-05-2024 17:08:27,23-05-2024,477,-,PARASRAM PRADIPKUMAR,Royal Fabrics,,TRANSPORT,MILTON-1,LD,D,70,145
28-05-2024 17:08:27,23-05-2024,477,-,PARASRAM PRADIPKUMAR,Royal Fabrics,,TRANSPORT,MILTON-1,LD,E,70,145
28-05-2024 17:08:27,23-05-2024,477,-,PARASRAM PRADIPKUMAR,Royal Fabrics,,TRANSPORT,MILTON-1,LD,F,70,145
28-05-2024 17:08:27,24-05-2024,576,-,NEXA CLOTHING,Self,,MATESHWARI TRANSPORT,Pineapple,LD,411124A,60,57.5
28-05-2024 17:08:27,24-05-2024,576,-,NEXA CLOTHING,Self,,MATESHWARI TRANSPORT,Pineapple,LD,411124B,60,57.5
28-05-2024 17:08:27,24-05-2024,576,-,NEXA CLOTHING,Self,,MATESHWARI TRANSPORT,Pineapple,LD,411124C,60,57.5
28-05-2024 17:08:27,27-05-2024,394,-,AV MARKETING,Self,,MATESHWARI TRANSPORT,London,LD,87091,50,170
28-05-2024 17:08:27,27-05-2024,394,-,AV MARKETING,Self,,MATESHWARI TRANSPORT,London,LD,87092,50,170
28-05-2024 17:08:27,27-05-2024,394,-,AV MARKETING,Self,,MATESHWARI TRANSPORT,London,LD,84840,50,170
28-05-2024 17:08:27,27-05-2024,394,-,AV MARKETING,Self,,MATESHWARI TRANSPORT,London,LD,84841,50,170
28-05-2024 17:08:27,27-05-2024,394,-,AV MARKETING,Self,,MATESHWARI TRANSPORT,London,LD,84864,50,170
28-05-2024 17:08:27,27-05-2024,394,-,AV MARKETING,Self,,MATESHWARI TRANSPORT,London,LD,84865,50,170
28-05-2024 17:08:27,27-05-2024,394,-,AV MARKETING,Self,,MATESHWARI TRANSPORT,London,LD,35479,50,170
28-05-2024 17:08:27,27-05-2024,394,-,AV MARKETING,Self,,MATESHWARI TRANSPORT,London,LD,35480,50,170
28-05-2024 17:08:27,27-05-2024,394,-,AV MARKETING,Self,,MATESHWARI TRANSPORT,London,LD,29005,50,170
28-05-2024 17:08:27,27-05-2024,394,-,AV MARKETING,Self,,MATESHWARI TRANSPORT,London,LD,29006,50,170
28-05-2024 17:08:27,27-05-2024,394,-,AV MARKETING,Self,,MATESHWARI TRANSPORT,London,LD,28989,50,170
28-05-2024 17:08:27,27-05-2024,394,-,AV MARKETING,Self,,MATESHWARI TRANSPORT,London,LD,28990,50,170
28-05-2024 17:08:27,27-05-2024,394,-,AV MARKETING,Self,,MATESHWARI TRANSPORT,London,LD,28997,50,170
28-05-2024 17:08:27,27-05-2024,394,-,AV MARKETING,Self,,MATESHWARI TRANSPORT,London,LD,28998,50,170
28-05-2024 17:08:27,27-05-2024,394,-,AV MARKETING,Self,,MATESHWARI TRANSPORT,London,LD,28993,50,170
28-05-2024 17:08:27,27-05-2024,394,-,AV MARKETING,Self,,MATESHWARI TRANSPORT,London,LD,28994,50,170
28-05-2024 17:08:27,27-05-2024,394,-,AV MARKETING,Self,,MATESHWARI TRANSPORT,London,LD,29003,50,170
28-05-2024 17:08:27,27-05-2024,394,-,AV MARKETING,Self,,MATESHWARI TRANSPORT,London,LD,29004,50,170
28-05-2024 17:08:27,27-05-2024,394,-,AV MARKETING,Self,,MATESHWARI TRANSPORT,London,LD,84904,50,170
28-05-2024 17:08:27,27-05-2024,394,-,AV MARKETING,Self,,MATESHWARI TRANSPORT,London,LD,84905,50,170
28-05-2024 17:08:27,27-05-2024,394,-,AV MARKETING,Self,,MATESHWARI TRANSPORT,London,LD,84898,50,170
28-05-2024 17:08:27,27-05-2024,394,-,AV MARKETING,Self,,MATESHWARI TRANSPORT,London,LD,84899,50,170
